First Name,Last Name,Company,Address,City,State,Zip,Country,Certification,Other Certification
John,Smith,ABC Healthcare,123 Main St,New York,NY,10001,USA,SLP,
Jane,Doe,XYZ Medical Center,456 Oak Ave,Los Angeles,CA,90210,USA,Aud,
Mike,Johnson,City Hospital,789 Pine St,Chicago,IL,60601,USA,SLP,
Sarah,Williams,Regional Medical,321 Elm Dr,Houston,TX,77001,USA,Dual,
David,Brown,Community Health,654 Maple Ln,Phoenix,AZ,85001,USA,SLP,
Lisa,Davis,Metro Hospital,987 Cedar Rd,Philadelphia,PA,19101,USA,Aud,
Tom,Wilson,Valley Medical,147 Birch St,San Antonio,TX,78201,USA,SLP,
Amy,Taylor,Riverside Health,258 Spruce Ave,San Diego,CA,92101,USA,Other,Speech Therapist
Chris,Anderson,Mountain View Clinic,369 Willow Way,Dallas,TX,75201,USA,SLP,
Maria,Garcia,Coastal Medical,741 Poplar Pl,San Jose,CA,95101,USA,Aud,

